caseId,lat,lon,city,state,country
dubrovnik-old-town,42.641,18.109,Dubrovnik,Dubrovnik-Neretva County,Croatia
lapad-grid,42.65,18.07,Dubrovnik,Dubrovnik-Neretva County,Croatia
komolac-grid,42.67,18.13,Dubrovnik,Dubrovnik-Neretva County,Croatia
cavtat-grid,42.58,18.22,Konavle,Dubrovnik-Neretva County,Croatia
zurich-airport,47.46,8.55,Zürich Airport,Zurich,Switzerland
rafz-grid,47.61,8.54,Rafz,Zurich,Switzerland
jestetten-grid,47.63,8.54,Jestetten,Baden-Württemberg,Germany
vienna-centre,48.21,16.37,Innere Stadt,Vienna,Austria
delhi-grid,28.59,77.19,Chanakyapuri,Delhi,India
faridabad-grid,28.41,77.31,Faridabad,Haryana,India
ubud-grid,-8.51,115.26,Ubud,Bali,Indonesia
miami-beach-grid,25.79,-80.13,Miami Beach,Florida,United States
fort-lauderdale-grid,26.12,-80.14,Fort Lauderdale,Florida,United States
westwood-grid,34.07,-118.45,Los Angeles,California,United States
dubrovnik-airport,42.56,18.27,Dubrovnik Ruđer Bošković Airport,Dubrovnik-Neretva County,Croatia
delhi-county,28.6,77.18,New Delhi,Delhi,India
